track,note,start,end
3,44,43680,44160
3,38,43680,44160
2,38,43920,44160
2,36,44160,45120
3,44,44160,44640
3,35,44160,44640
3,44,44640,45120
3,38,44640,45120
2,35,45120,46080
3,44,45120,45600
3,35,45120,45600
3,44,45600,46080
3,38,45600,46080
1,50,46080,46320
1,43,46080,46320
2,31,46080,46320
3,57,46080,46560
3,35,46080,46560
1,50,46320,46560
1,43,46320,46560
2,31,46320,46560
1,50,46560,46800
1,43,46560,46800
2,31,46560,46800
3,42,46560,47040
1,50,46800,47040
1,43,46800,47040
2,31,46800,47040
1,50,47040,47280
1,43,47040,47280
2,31,47040,47280
3,42,47040,47520
1,50,47280,47520
1,43,47280,47520
2,31,47280,47520
1,50,47520,47760
1,43,47520,47760
2,31,47520,47760
3,42,47520,48000
1,50,47760,48000
1,43,47760,48000
2,31,47760,48000
1,45,48000,48240
1,40,48000,48240
2,33,48000,48240
3,57,48000,48480
3,35,48000,48480
1,45,48240,48480
1,40,48240,48480
2,33,48240,48480
1,52,48480,48720
1,45,48480,48720
1,40,48480,48720
2,33,48480,48720
3,42,48480,48960
1,52,48720,48960
1,45,48720,48960
1,40,48720,48960
2,33,48720,48960
1,57,48960,49200
1,52,48960,49200
1,45,48960,49200
1,40,48960,49200
2,33,48960,49200
3,42,48960,49440
1,61,49200,49440
1,57,49200,49440
1,52,49200,49440
1,45,49200,49440
1,40,49200,49440
2,33,49200,49440
1,64,49440,49680
1,61,49440,49680
1,57,49440,49680
1,52,49440,49680
1,45,49440,49680
1,40,49440,49680
2,33,49440,49680
3,42,49440,49920
1,64,49680,49920
1,61,49680,49920
1,40,49680,49920
2,33,49680,49920
1,57,49860,49920
1,52,49860,49920
1,45,49860,49920
1,64,49920,50640
1,59,49920,50640
1,52,49920,50640
2,40,49920,50640
3,57,49920,50400
3,35,49920,50400
3,57,50400,50880
3,38,50400,50880
1,64,50640,50880
1,59,50640,50880
1,52,50640,50880
2,40,50640,50760
1,67,50880,51120
1,62,50880,51120
1,55,50880,51120
2,43,50880,51000
3,57,50880,51360
3,35,50880,51360
1,64,51240,51480
1,59,51240,51480
1,52,51240,51480
2,40,51240,51360
3,57,51360,51840
3,38,51360,51840
1,62,51600,51840
1,57,51600,51840
1,50,51600,51840
2,38,51600,51840
1,60,51840,52800
1,55,51840,52800
1,48,51840,52800
2,36,51840,52800
3,57,51840,52320
3,35,51840,52320
3,57,52320,52800
3,38,52320,52800
1,59,52800,53760
1,54,52800,53760
1,47,52800,53760
2,35,52800,53760
3,57,52800,53280
3,35,52800,53280
3,57,53280,53760
3,38,53280,53760
1,57,53700,53760
1,52,53700,53760
1,45,53700,53760
1,64,53760,54480
1,59,53760,54480
1,52,53760,54480
2,40,53760,54480
3,57,53760,54240
3,35,53760,54240
3,57,54240,54480
3,38,54240,54480
1,64,54480,54720
1,59,54480,54720
1,52,54480,54720
2,40,54480,54600
3,35,54480,54720
1,67,54720,54960
1,62,54720,54960
1,55,54720,54960
2,43,54720,54840
3,57,54720,55200
3,35,54720,55200
1,64,55080,55320
1,59,55080,55320
1,52,55080,55320
2,40,55080,55200
3,57,55200,55440
3,35,55200,55440
1,62,55440,55680
1,57,55440,55680
1,50,55440,55680
2,38,55440,55680
3,38,55440,55680
1,60,55680,56040
1,55,55680,56040
1,48,55680,56040
2,36,55680,56040
3,57,55680,56160
3,35,55680,56160
1,62,56040,56400
1,57,56040,56400
1,50,56040,56400
2,38,56040,56400
3,57,56160,56640
3,38,56160,56640
1,60,56400,56640
1,55,56400,56640
1,48,56400,56640
2,36,56400,56640
1,59,56640,57120
1,54,56640,57120
1,47,56640,57120
2,35,56640,57120
3,57,56640,57120
3,35,56640,57120
2,33,57120,57600
3,57,57120,57600
3,38,57120,57600
1,57,57540,57600
1,52,57540,57600
1,45,57540,57600
1,64,57600,58320
1,59,57600,58320
1,52,57600,58320
2,40,57600,58320
3,57,57600,58080
3,35,57600,58080
3,57,58080,58560
3,38,58080,58560
1,64,58320,58560
1,59,58320,58560
1,52,58320,58560
2,40,58320,58440
1,67,58560,58800
1,62,58560,58800
1,55,58560,58800
2,43,58560,58680
3,57,58560,59040
3,35,58560,59040
1,64,58920,59160
1,59,58920,59160
1,52,58920,59160
2,40,58920,59040
3,57,59040,59520
3,38,59040,59520
1,62,59280,59520
1,57,59280,59520
1,50,59280,59520
2,38,59280,59520
1,60,59520,60480
1,55,59520,60480
1,48,59520,60480
2,36,59520,60480
3,57,59520,60000
3,35,59520,60000
3,57,60000,60480
3,38,60000,60480
1,59,60480,61440
1,54,60480,61440
1,47,60480,61440
2,35,60480,61440
3,57,60480,60960
3,35,60480,60960
3,57,60960,61440
3,38,60960,61440
1,57,61380,61440
1,52,61380,61440
1,45,61380,61440
1,64,61440,62160
1,59,61440,62160
1,52,61440,62160
2,40,61440,62160
3,57,61440,61920
3,35,61440,61920
3,57,61920,62160
3,38,61920,62160
1,64,62160,62400
1,59,62160,62400
1,52,62160,62400
2,40,62160,62280
3,35,62160,62400
1,67,62400,62640
1,62,62400,62640
1,55,62400,62640
2,43,62400,62520
3,57,62400,62880
3,35,62400,62880
1,64,62760,63000
1,59,62760,63000
1,52,62760,63000
2,40,62760,62880
3,57,62880,63120
3,35,62880,63120
1,62,63120,63360
1,57,63120,63360
1,50,63120,63360
2,38,63120,63360
3,38,63120,63360
1,60,63360,63720
1,55,63360,63720
1,48,63360,63720
2,36,63360,63720
3,57,63360,63840
3,35,63360,63840
1,62,63720,64080
1,57,63720,64080
1,50,63720,64080
2,38,63720,64080
3,57,63840,64320
3,38,63840,64320
1,60,64080,64320
1,55,64080,64320
1,48,64080,64320
2,36,64080,64320
1,59,64320,64800
1,54,64320,64800
1,47,64320,64800
2,35,64320,64800
3,57,64320,64800
3,35,64320,64800
1,57,64800,65280
1,52,64800,65280
1,45,64800,65280
2,33,64800,65280
3,57,64800,65280
3,38,64800,65280
